City;PercBlack;PercHisp;PercAsian;MedianAge;Unemployment;;City;PercBlack;PercHisp;PercAsian;MedianAge;Unemployment;Dist to 1;Dist to 2;Dist to 3;min dist;Assignment;;Cluster;PercBlack;PercHisp;PercAsian;MedianAge;Unemployment
Albuquerque;0,11683932;0,894677333;0,357058903;0,524709685;0,223851308;;Albuquerque;-1,190936181;1,251792913;-0,366331393;0,061977651;-0,759250678;6,503498676;25,09453518;2,09284103;2,09284103;3;;1;0,420493297;-0,620561085;-0,253512311;0,171990961;-0,145855905
Atlanta;0,991334168;0,219951736;0,323839418;0,328458696;0,223851308;;Atlanta;2,379595237;-0,772356227;-0,456989162;-0,444173164;-0,759250678;4,658436383;38,57828055;13,4242881;4,658436383;1;;2;-1,124936968;-0,253340336;3,906626032;2,198932471;-0,755768876
Austin;0,245465064;0,696981532;0,391399378;0,072630706;0,06541561;;Austin;-0,6888302;0,51573868;-0,275673624;-1,456474793;-1,510832158;7,037327786;32,20542488;4,908087285;4,908087285;3;;3;-0,567879932;1,0302847;0,030229107;-0,436611095;0,358660358
Baltimore;0,97339907;0,202226698;0,323839418;0,71502613;0,932607186;;Baltimore;1,933278809;-0,83369408;-0,456989162;0,568128465;1,495493761;5,226302156;36,45833694;12,26948536;5,226302156;1;;;;;;;
Boston;0,536739785;0,412812704;0,462412355;0,170973829;0,223851308;;Boston;0,092223547;-0,220315553;-0,094358086;-0,950323978;-0,759250678;1,929131554;27,40827258;3,528885578;1,929131554;1;;147,9659312;;;;;
Charlotte;0,665296085;0,202226698;0,357058903;0,524709685;0,06541561;;Charlotte;0,426960868;-0,83369408;-0,366331393;0,061977651;-1,510832158;1,933458749;26,14005898;8,364978347;1,933458749;1;;;;;;;
Chicago;0,793175124;0,629951585;0,4266083;0,328458696;0,771535227;;Chicago;0,817487742;0,331725122;-0,185015855;-0,444173164;0,743912281;2,240491028;30,09189964;2,602035699;2,240491028;1;;;;;;;
Cincinnati;0,776879922;0,202226698;0,323839418;0,328458696;0,643608695;;Cincinnati;0,761698188;-0,83369408;-0,456989162;-0,444173164;0,368121541;0,847080324;31,18647731;5,479723212;0,847080324;1;;;;;;;
Cleveland;0,896849838;0,278151155;0,323839418;0,524709685;0,987682391;;Cleveland;1,263804169;-0,588342669;-0,456989162;0,061977651;2,24707524;6,491836476;38,44309704;10,02710435;6,491836476;1;;;;;;;
Columbus;0,470049627;0,202226698;0,357058903;0,072630706;0,06541561;;Columbus;-0,075145113;-0,83369408;-0,366331393;-1,456474793;-1,510832158;4,818872137;33,62916139;8,409588956;4,818872137;1;;;;;;;
